customer_id,first_name,last_name,email,phone,country,age,signup_date,is_active
1,Priya,Brown,priya.brown4@proton.me,+1-481-450-4657,UK,65,2022-07-29,true
2,Chen,Wilson,chen.wilson5@gmail.com,+1-295-423-4811,France,56,2022-02-24,true
3,Mateo,Patel,mateo.patel90@icloud.com,+1-629-425-8359,France,35,2022-01-14,true
4,Mateo,Wilson,mateo.wilson44@outlook.com,+1-359-420-6514,US,23,2024-02-18,true
5,Barbara,Lopez,barbara.lopez78@outlook.com,+1-244-947-8527,France,25,2024-02-15,true
6,Sarah,Martinez,sarah.martinez81@icloud.com,+1-570-791-4150,Australia,22,2022-04-04,true
7,Liam,Martinez,liam.martinez11@yahoo.com,+1-303-589-5554,Germany,58,2024-01-18,true
8,Barbara,Lopez,barbara.lopez27@proton.me,+1-473-918-2169,France,58,2022-12-17,true
9,Jennifer,Anderson,jennifer.anderson49@outlook.com,+1-855-904-4598,Australia,38,2022-04-25,true
10,Noah,Johnson,noah.johnson41@hotmail.com,+1-474-267-4456,France,74,2023-10-07,true
11,Priya,Thomas,priya.thomas51@proton.me,+1-669-346-5339,UK,33,2025-02-23,false
12,Sofia,Jackson,sofia.jackson55@icloud.com,+1-608-570-4593,UK,50,2024-10-07,true
13,Liam,Johnson,liam.johnson15@yahoo.com,+1-842-363-7916,France,22,2024-02-28,false
14,Wei,Anderson,wei.anderson68@outlook.com,+1-766-211-2876,Australia,74,2025-01-04,false
15,Liam,Patel,liam.patel44@gmail.com,+1-500-645-3591,Germany,18,2023-06-24,true
16,Thomas,Brown,thomas.brown81@outlook.com,+1-854-719-4258,UK,41,2022-11-27,true
17,Wei,Hernandez,wei.hernandez63@gmail.com,+1-314-571-6038,UK,21,2023-05-09,true
18,John,Singh,john.singh63@gmail.com,+1-978-745-3060,UK,60,2024-08-31,true
19,William,Taylor,william.taylor78@hotmail.com,+1-416-752-4295,Australia,37,2024-03-28,false
20,Joseph,Taylor,joseph.taylor58@gmail.com,+1-453-430-2049,Canada,19,2025-04-19,true
21,Chen,Davis,chen.davis1@gmail.com,+1-924-846-1964,UK,22,2022-03-06,false
22,John,Taylor,john.taylor31@outlook.com,+1-885-697-4510,France,26,2025-03-15,false
23,Linda,Thomas,linda.thomas53@yahoo.com,+1-296-299-8062,Canada,45,2024-04-21,false
24,Emma,Singh,emma.singh7@proton.me,+1-869-861-2612,US,43,2023-11-26,true
25,Linda,Miller,linda.miller25@icloud.com,+1-659-343-7912,UK,35,2024-08-05,true
26,Emma,Williams,emma.williams57@icloud.com,+1-300-251-9856,US,23,2023-04-30,true
27,Susan,Thomas,susan.thomas62@yahoo.com,+1-610-260-3697,Germany,18,2024-03-10,false
28,Mia,Anderson,mia.anderson37@hotmail.com,+1-913-948-8973,UK,30,2023-08-31,true
29,Mary,Jackson,mary.jackson95@icloud.com,+1-262-965-6138,US,21,2025-04-11,false
30,Thomas,Taylor,thomas.taylor21@gmail.com,+1-720-282-4044,US,56,2022-05-20,true
31,Richard,Brown,richard.brown73@yahoo.com,+1-792-808-1651,France,23,2024-05-08,false
32,Mia,Rodriguez,mia.rodriguez27@proton.me,+1-933-521-4910,Canada,43,2022-09-26,false
33,Joseph,Hernandez,joseph.hernandez97@gmail.com,+1-209-669-2638,US,52,2023-03-13,false
34,Robert,Lopez,robert.lopez9@yahoo.com,+1-578-491-3584,Germany,71,2025-01-17,false
35,Wei,Patel,wei.patel68@gmail.com,+1-883-767-5905,Australia,24,2022-10-03,false
36,Patricia,Brown,patricia.brown96@icloud.com,+1-359-478-5616,France,31,2023-12-04,true
37,Aisha,Patel,aisha.patel34@icloud.com,+1-700-457-1832,US,58,2024-05-17,false
38,Mary,Smith,mary.smith43@yahoo.com,+1-852-468-3647,Australia,46,2025-02-03,false
39,Sarah,Smith,sarah.smith15@gmail.com,+1-907-352-9938,US,71,2024-01-27,true
40,Susan,Jones,susan.jones6@outlook.com,+1-573-240-6862,UK,61,2023-05-27,true
41,Barbara,Moore,barbara.moore53@icloud.com,+1-967-358-4878,UK,69,2022-12-29,false
42,James,Garcia,james.garcia95@outlook.com,+1-621-885-5065,Canada,28,2025-12-07,true
43,Richard,Johnson,richard.johnson61@yahoo.com,+1-404-671-6728,Canada,70,2023-04-12,true
44,James,Nguyen,james.nguyen25@hotmail.com,+1-536-485-2137,Canada,40,2025-08-06,false
45,Aisha,Moore,aisha.moore43@gmail.com,+1-318-467-3925,France,34,2022-03-20,true
46,Wei,Wilson,wei.wilson45@proton.me,+1-521-646-9379,US,42,2025-03-26,true
47,William,Johnson,william.johnson91@hotmail.com,+1-201-732-9821,Australia,64,2025-10-05,true
48,Barbara,Wilson,barbara.wilson9@proton.me,+1-538-838-6143,Australia,72,2022-09-13,false
49,Thomas,Martinez,thomas.martinez86@hotmail.com,+1-534-612-5844,France,26,2023-01-28,false
50,Aisha,Gonzalez,aisha.gonzalez87@proton.me,+1-378-830-5930,Germany,53,2022-01-01,false
51,Elizabeth,Miller,elizabeth.miller56@icloud.com,+1-821-870-6279,Germany,46,2024-06-24,true
52,Thomas,Thomas,thomas.thomas95@yahoo.com,+1-874-286-5649,France,60,2025-07-20,false
53,John,Davis,john.davis87@outlook.com,+1-430-403-3414,US,20,2023-05-17,false
